2.00,8.00,14.50,9.67,87.00,27.50,464.00,396.17,119.17,89.33,537.33,553.83,692.50,698.00,1235.17,1209.00
1.00,0.67,0.00,0.00,75.17,4.00,426.83,346.50,47.17,26.17,520.17,543.17,731.33,683.17,1222.00,1196.33
-50.00%,-91.67%,-100.00%,-100.00%,-13.60%,-85.45%,-8.01%,-12.54%,-60.42%,-70.71%,-3.19%,-1.93%,5.61%,-2.13%,-1.07%,-1.05%
6.25,6.83,12.17,10.67,126.33,86.33,344.33,259.83,57.33,38.67,465.00,434.83,426.00,349.83,886.33,729.83
0.50,0.00,1.50,0.00,100.33,82.17,341.67,277.83,50.50,30.67,486.50,453.67,552.33,290.83,837.00,906.25
-92.00%,-100.00%,-87.67%,-100.00%,-20.58%,-4.83%,-0.77%,6.93%,-11.92%,-20.69%,4.62%,4.33%,29.66%,-16.87%,-5.57%,24.17%
